AccountID,HourOfDay_mean,BalanceDeviation_mean,TransactionBurstiness_mean,IsExternalAccount_sum,ExternalAccountFrequency_mean,isUnauthorizedOverdraft_sum,RollingTransactionCount_mean
C0001143040,17.583629893238435,-2.0383038554751575e-10,211.33985765124555,182,1252.5494505494505,0,9.919928825622776
C0001332727,17.174157303370787,-2.2629045703437892e-10,40.78089887640449,42,14.119047619047619,0,9.747191011235955
C0002641069,17.910714285714285,1.3720377215317318e-10,1.9464285714285714,16,4529.4375,0,9.196428571428571
C0002967890,17.37864077669903,-1.5371343464527316e-10,17.271844660194176,52,2224.230769230769,0,9.563106796116505
C0003513711,16.62,8.381903171539306e-11,4.04,7,701.1428571428571,0,9.1
C0003846706,18.181818181818183,-5.079941316084428e-10,0.9090909090909091,8,13.75,0,5.909090909090909
C0003920445,16.364341085271317,-4.602466211762539e-10,23.984496124031008,50,6774.94,0,9.651162790697674
C0004619361,16.58823529411765,6.026204894570744e-10,1.1764705882352942,10,28944.3,1,7.352941176470588
C0005549664,17.262569832402235,-1.5218539277934496e-10,40.81005586592179,50,13.4,0,9.748603351955307
C0006059809,17.271375464684017,-1.3537067906120897e-10,596.067657992565,428,443.2266355140187,0,9.966542750929367
C0010962780,16.782608695652176,-1.2147685755854067e-10,0.0,0,,0,8.043478260869565
C0011014774,17.50574712643678,3.568285726496086e-11,78.24521072796935,99,583.4040404040404,0,9.827586206896552
C0014453826,17.0,5.820766091346741e-11,0.0,3,14.0,0,2.5
C0015726513,17.0,3.233758939637078e-11,1.0555555555555556,4,13.0,1,7.5
C0015956708,17.732394366197184,-6.558609680390694e-12,8.43661971830986,30,3508.8,0,9.366197183098592
C0016078499,17.419614147909968,-8.534628095350848e-11,246.90032154340835,148,992.168918918919,0,9.927652733118972
C0017598515,16.31578947368421,-1.960679104453639e-10,1.5789473684210527,10,14.4,0,7.631578947368421
C0019573488,17.296747967479675,-6.246675805347722e-11,63.426829268292686,70,83.5,0,9.817073170731707
C0023020870,18.73076923076923,1.1641532182693481e-10,1.0769230769230769,13,15.923076923076923,0,8.26923076923077
C0023082197,15.727272727272727,9.524889967658304e-11,0.45454545454545453,0,,0,5.909090909090909
