AccountID,HourOfDay_mean,DayOfWeek_mean,TimeSinceLastTransaction_mean,BalanceChangeRatio_mean,BalanceDeviation_mean,TransactionAmountDeviation_mean,TransactionAmountRatio_mean,TransactionFrequencyPerHour_mean,TransactionBurstiness_mean,IsUnusualTransactionType_sum,IsExternalAccount_sum,ExternalAccountFrequency_mean,isUnauthorizedOverdraft_sum,OverdraftFrequency_mean,RollingAverageAmount_mean,RollingTransactionCount_mean
C0001143040,17.583629893238435,2.868327402135231,74.54545454545455,0.04616934847527736,-2.0383038554751575e-10,-2.2708237820778876e-11,0.9999999999999998,5.7188612099644125,211.33985765124555,4,182,1252.5494505494505,0,0.0,147735.54665299668,9.919928825622776
C0001332727,17.174157303370787,3.095505617977528,221.01694915254237,0.12226846842605921,-2.2629045703437892e-10,-5.31390162833621e-12,1.0,2.2808988764044944,40.78089887640449,0,42,14.119047619047619,0,0.0,132685.62856587747,9.747191011235955
C0002641069,17.910714285714285,3.267857142857143,705.8181818181819,0.08501416362227125,1.3720377215317318e-10,-1.1433647679431098e-11,0.9999999999999999,1.1428571428571428,1.9464285714285714,1,16,4529.4375,0,0.0,146934.98715539966,9.196428571428571
C0002967890,17.37864077669903,2.825242718446602,312.94117647058823,1.4392053078809803,-1.5371343464527316e-10,4.097141180802317e-12,1.0,1.7572815533980584,17.271844660194176,0,52,2224.230769230769,0,0.0,115125.72451221297,9.563106796116505
C0003513711,16.62,2.9,418.7755102040816,100.82118462075688,8.381903171539306e-11,9.89530235528946e-12,1.0,1.24,4.04,3,7,701.1428571428571,0,0.0,134165.59810095237,9.1
C0003846706,18.181818181818183,3.4545454545454546,2208.0,0.036728985340245275,-5.079941316084428e-10,-3.3072534609924662e-12,1.0,1.1818181818181819,0.9090909090909091,0,8,13.75,0,0.0,47893.86073701298,5.909090909090909
C0003920445,16.364341085271317,2.875968992248062,286.40625,6.092290548283462,-4.602466211762539e-10,3.6097774209902268e-12,1.0,1.9612403100775193,23.984496124031008,6,50,6774.94,0,0.0,168870.22014519505,9.651162790697674
C0004619361,16.58823529411765,3.2941176470588234,1323.75,31.43854110864751,6.026204894570744e-10,1.2839925201500163e-11,1.0000000000000002,1.2352941176470589,1.1764705882352942,0,10,28944.3,1,1.0,92557.60045681606,7.352941176470588
C0005549664,17.262569832402235,2.8547486033519553,233.59550561797752,0.05028671778630347,-1.5218539277934496e-10,-6.422353648273638e-12,1.0,2.363128491620112,40.81005586592179,0,50,13.4,0,0.0,118147.39696920723,9.748603351955307
C0006059809,17.271375464684017,3.071375464684015,31.875,6.513772680804023,-1.3537067906120897e-10,-1.3026398464649583e-11,1.0,11.456505576208178,596.067657992565,7,428,443.2266355140187,0,0.0,153077.78776736,9.966542750929367
C0010962780,16.782608695652176,2.3043478260869565,946.3636363636364,179.50871837648376,-1.2147685755854067e-10,-6.326919664507327e-13,1.0,1.0,0.0,1,0,,0,0.0,113125.01585904071,8.043478260869565
C0011014774,17.50574712643678,3.0421455938697317,164.76923076923077,0.10749975128701836,3.568285726496086e-11,7.359589310898179e-12,1.0,3.2452107279693485,78.24521072796935,1,99,583.4040404040404,0,0.0,161452.17411085265,9.827586206896552
C0014453826,17.0,2.75,2880.0,0.01142363619908475,5.820766091346741e-11,2.7284841053187847e-12,1.0,1.0,0.0,0,3,14.0,0,0.0,37791.833333333336,2.5
C0015726513,17.0,3.1666666666666665,1171.764705882353,8469.300121496974,3.233758939637078e-11,-3.233758939637078e-12,1.0,1.3333333333333333,1.0555555555555556,0,4,13.0,1,1.0,196333.82975881835,7.5
C0015956708,17.732394366197184,2.943661971830986,486.0,36.94196145755566,-6.558609680390694e-12,4.509044155268602e-12,1.0,1.647887323943662,8.43661971830986,0,30,3508.8,0,0.0,124271.90111776213,9.366197183098592
C0016078499,17.419614147909968,2.9533762057877815,65.79710144927536,1.982239435912413,-8.534628095350848e-11,-2.0400755754237773e-11,0.9999999999999998,6.212218649517685,246.90032154340835,2,148,992.168918918919,0,0.0,142767.20409910427,9.927652733118972
C0017598515,16.31578947368421,2.9473684210526314,1156.6666666666667,656.3400613280643,-1.960679104453639e-10,-9.956573577303636e-12,1.0,1.2105263157894737,1.5789473684210527,0,10,14.4,0,0.0,115975.20185004178,7.631578947368421
C0019573488,17.296747967479675,3.0121951219512195,173.3877551020408,252.41464713818618,-6.246675805347722e-11,1.2540674912251108e-11,1.0000000000000002,2.845528455284553,63.426829268292686,1,70,83.5,0,0.0,168267.06701551814,9.817073170731707
C0023020870,18.73076923076923,2.6538461538461537,1281.6,0.05307472711708191,1.1641532182693481e-10,1.2313159039387336e-11,1.0000000000000002,1.2307692307692308,1.0769230769230769,0,13,15.923076923076923,0,0.0,171633.14440750916,8.26923076923077
